country_name,wins,runnerups,total_finals_games,finals_win_rate,total_wins,total_losses,total_games,win_rate,Czechia,latitude,longitude
Argentina,235,222,457,51.42231947483589,7989,7117,15106,52.88627035614988,Czech Republic,-38.416097,-63.616672
Armenia,1,2,3,33.33333333333333,158,220,378,41.7989417989418,Czech Republic,40.069099,45.038189
Australia,290,325,615,47.15447154471545,13965,13577,27542,50.70437876697408,Czech Republic,-25.274398,133.775136
Austria,79,52,131,60.30534351145038,2610,2649,5259,49.629207073588134,Czech Republic,47.516231,14.550072
Belarus,1,5,6,16.666666666666664,440,478,918,47.930283224400874,Czech Republic,53.709807,27.953389
Belgium,16,34,50,32,1830,2215,4045,45.24103831891224,Czech Republic,50.503887,4.469936
Bolivia,3,1,4,75,179,293,472,37.92372881355932,Czech Republic,-16.290154,-63.588653
Bosnia & Herzegovina,4,1,5,80,200,247,447,44.742729306487696,Czech Republic,NA,NA
Brazil,42,37,79,53.16455696202531,2211,2799,5010,44.131736526946106,Czech Republic,-14.235004,-51.92528
Bulgaria,8,7,15,53.333333333333336,493,457,950,51.89473684210526,Czech Republic,42.733883,25.48583
Canada,9,31,40,22.5,1539,1933,3472,44.326036866359445,Czech Republic,56.130366,-106.346771
Chile,57,54,111,51.35135135135135,2574,2390,4964,51.853344077356965,Czech Republic,-35.675147,-71.542969
Colombia,1,8,9,11.11111111111111,707,987,1694,41.735537190082646,Czech Republic,4.570868,-74.297333
Costa Rica,1,1,2,50,89,160,249,35.7429718875502,Czech Republic,9.748917,-83.753428
Croatia,86,99,185,46.48648648648649,3494,2843,6337,55.13649992109831,Czech Republic,45.1,15.2
Cyprus,4,10,14,28.57142857142857,355,371,726,48.89807162534435,Czech Republic,35.126413,33.429859
Czech Republic,92,146,238,38.655462184873954,5662,5667,11329,49.977932738988436,Czech Republic,49.817492,15.472962
Denmark,4,5,9,44.44444444444444,609,822,1431,42.55765199161425,Czech Republic,56.26392,9.501785
Ecuador,26,22,48,54.166666666666664,1127,986,2113,53.33648840511122,Czech Republic,-1.831239,-78.183406
Egypt,1,1,2,50,417,499,916,45.5240174672489,Czech Republic,26.820553,30.802498
Finland,2,12,14,14.285714285714285,692,770,1462,47.332421340629274,Czech Republic,61.92411,25.748151
France,171,251,422,40.52132701421801,11357,11895,23252,48.843110270084296,Czech Republic,46.227638,2.213749
Georgia,4,2,6,66.66666666666666,173,263,436,39.678899082568805,Czech Republic,42.315407,43.356892
Germany,163,193,356,45.78651685393258,8749,9550,18299,47.81135581179299,Czech Republic,51.165691,10.451526
Greece,7,10,17,41.17647058823529,320,364,684,46.783625730994146,Czech Republic,39.074208,21.824312
Hungary,14,13,27,51.85185185185185,952,953,1905,49.973753280839894,Czech Republic,47.162494,19.503304
India,24,17,41,58.536585365853654,1342,1666,3008,44.61436170212766,Czech Republic,20.593684,78.96288
Israel,8,21,29,27.586206896551722,980,1137,2117,46.291922531884744,Czech Republic,31.046051,34.851612
Italy,73,112,185,39.45945945945946,5024,6132,11156,45.03406238795267,Czech Republic,41.87194,12.56738
Japan,16,20,36,44.44444444444444,1323,1695,3018,43.836978131212724,Czech Republic,36.204824,138.252924
Kazakhstan,2,10,12,16.666666666666664,417,573,990,42.12121212121212,Czech Republic,48.019573,66.923684
Latvia,6,1,7,85.71428571428571,312,348,660,47.27272727272727,Czech Republic,56.879635,24.603189
Luxembourg,2,6,8,25,299,393,692,43.20809248554913,Czech Republic,49.815273,6.129583
Mexico,21,25,46,45.65217391304348,1155,1161,2316,49.870466321243526,Czech Republic,23.634501,-102.552784
Morocco,8,17,25,32,743,810,1553,47.842884739214426,Czech Republic,31.791702,-7.09262
Netherlands,68,64,132,51.515151515151516,3148,3188,6336,49.68434343434344,Czech Republic,52.132633,5.291266
New Zealand,15,28,43,34.883720930232556,1551,1794,3345,46.36771300448431,Czech Republic,-40.900557,174.885971
Norway,1,3,4,25,295,381,676,43.63905325443787,Czech Republic,60.472024,8.468946
Pakistan,2,6,8,25,328,363,691,47.467438494934875,Czech Republic,30.375321,69.345116
Paraguay,10,15,25,40,670,653,1323,50.64247921390779,Czech Republic,-23.442503,-58.443832
Peru,12,11,23,52.17391304347826,759,826,1585,47.88643533123028,Czech Republic,-9.189967,-75.015152
Poland,18,25,43,41.86046511627907,1020,903,1923,53.042121684867396,Czech Republic,51.919438,19.145136
Portugal,3,9,12,25,515,782,1297,39.707016191210485,Czech Republic,39.399872,-8.224454
Romania,67,53,120,55.833333333333336,1978,1761,3739,52.90184541321209,Czech Republic,45.943161,24.96676
Russia,133,105,238,55.88235294117647,4796,4125,8921,53.760789149198516,Czech Republic,61.52401,105.318756
Serbia,98,57,155,63.2258064516129,2062,1428,3490,59.08309455587393,Czech Republic,44.016521,21.005859
Slovakia,36,35,71,50.70422535211267,1508,1533,3041,49.588951002959554,Czech Republic,48.669026,19.699024
South Africa,45,66,111,40.54054054054054,3868,4343,8211,47.107538667640966,Czech Republic,-30.559482,22.937506
South Korea,2,1,3,66.66666666666666,457,494,951,48.0546792849632,Czech Republic,35.907757,127.766922
Spain,431,390,821,52.496954933008524,14949,12994,27943,53.49819274952582,Czech Republic,40.463667,-3.74922
Sweden,287,224,511,56.16438356164384,8227,6753,14980,54.91989319092123,Czech Republic,60.128161,18.643501
Switzerland,146,96,242,60.33057851239669,3447,2436,5883,58.59255481896991,Czech Republic,46.818188,8.227512
Thailand,5,6,11,45.45454545454545,450,435,885,50.847457627118644,Czech Republic,15.870032,100.992541
Ukraine,19,13,32,59.375,866,850,1716,50.46620046620046,Czech Republic,48.379433,31.16558
United Kingdom,100,92,192,52.083333333333336,4530,4486,9016,50.244010647737355,Czech Republic,55.378051,-3.435973
