year,country_name,wins,runnerups,total_finals_games,finals_win_rate,total_wins,total_losses,total_games,win_rate,latitude,longitude
1969,Australia,17,14,31,54.83870967741935,962,344,1306,73.66003062787136,-25.274398,133.775136
1969,Croatia,2,3,5,40,51,36,87,58.620689655172406,45.1,15.2
1969,France,1,1,2,50,93,153,246,37.80487804878049,46.227638,2.213749
1969,Netherlands,5,3,8,62.5,65,21,86,75.5813953488372,52.132633,5.291266
1969,Romania,1,2,3,33.33333333333333,49,41,90,54.44444444444444,45.943161,24.96676
1969,South Africa,2,2,4,50,166,153,319,52.03761755485894,-30.559482,22.937506
1969,Spain,3,2,5,60,90,47,137,65.69343065693431,40.463667,-3.74922
1969,United States,7,10,17,41.17647058823529,463,400,863,53.650057937427576,37.09024,-95.712891
1970,Australia,26,28,54,48.148148148148145,728,404,1132,64.31095406360424,-25.274398,133.775136
1970,Croatia,4,2,6,66.66666666666666,136,54,190,71.57894736842105,45.1,15.2
1970,Czech Republic,2,1,3,66.66666666666666,75,61,136,55.14705882352941,49.817492,15.472962
1970,Germany,1,1,2,50,77,90,167,46.10778443113773,51.165691,10.451526
1970,Netherlands,5,1,6,83.33333333333334,89,32,121,73.55371900826447,52.132633,5.291266
1970,Romania,3,2,5,60,96,43,139,69.06474820143885,45.943161,24.96676
1970,South Africa,1,4,5,20,188,181,369,50.94850948509485,-30.559482,22.937506
1970,Spain,2,4,6,33.33333333333333,122,67,189,64.55026455026454,40.463667,-3.74922
1970,United Kingdom,2,3,5,40,197,224,421,46.79334916864608,55.378051,-3.435973
1970,United States,20,16,36,55.55555555555556,667,568,1235,54.0080971659919,37.09024,-95.712891
1971,Australia,22,16,38,57.89473684210527,730,665,1395,52.32974910394266,-25.274398,133.775136
1971,Croatia,5,3,8,62.5,115,77,192,59.895833333333336,45.1,15.2
1971,Czech Republic,3,5,8,37.5,128,106,234,54.700854700854705,49.817492,15.472962
1971,Netherlands,2,4,6,33.33333333333333,74,36,110,67.27272727272727,52.132633,5.291266
1971,Romania,9,5,14,64.28571428571429,123,43,166,74.09638554216868,45.943161,24.96676
1971,South Africa,4,3,7,57.14285714285714,229,252,481,47.60914760914761,-30.559482,22.937506
1971,Spain,4,4,8,50,184,166,350,52.57142857142857,40.463667,-3.74922
1971,United Kingdom,3,2,5,60,127,171,298,42.61744966442953,55.378051,-3.435973
1971,United States,21,27,48,43.75,849,724,1573,53.97329942784488,37.09024,-95.712891
1972,Australia,24,21,45,53.333333333333336,652,637,1289,50.581846392552364,-25.274398,133.775136
1972,Croatia,1,1,2,50,49,46,95,51.578947368421055,45.1,15.2
1972,Czech Republic,2,5,7,28.57142857142857,144,93,237,60.75949367088608,49.817492,15.472962
1972,Germany,1,1,2,50,56,53,109,51.37614678899083,51.165691,10.451526
1972,Netherlands,1,4,5,20,79,41,120,65.83333333333333,52.132633,5.291266
1972,Peru,1,1,2,50,20,19,39,51.28205128205128,-9.189967,-75.015152
1972,Romania,12,5,17,70.58823529411765,151,55,206,73.30097087378641,45.943161,24.96676
1972,South Africa,5,5,10,50,176,160,336,52.38095238095239,-30.559482,22.937506
1972,Spain,9,6,15,60,181,115,296,61.14864864864865,40.463667,-3.74922
1972,United Kingdom,3,2,5,60,154,189,343,44.89795918367347,55.378051,-3.435973
1972,United States,29,26,55,52.72727272727272,933,816,1749,53.34476843910806,37.09024,-95.712891
1973,Australia,22,22,44,50,762,648,1410,54.04255319148936,-25.274398,133.775136
1973,Chile,1,2,3,33.33333333333333,76,91,167,45.50898203592814,-35.675147,-71.542969
1973,Czech Republic,3,3,6,50,130,132,262,49.61832061068702,49.817492,15.472962
1973,Germany,3,5,8,37.5,250,128,378,66.13756613756614,51.165691,10.451526
1973,India,2,1,3,66.66666666666666,71,88,159,44.65408805031446,20.593684,78.96288
1973,Italy,1,6,7,14.285714285714285,125,113,238,52.52100840336135,41.87194,12.56738
1973,Netherlands,7,3,10,70,96,34,130,73.84615384615385,52.132633,5.291266
1973,New Zealand,2,3,5,40,107,101,208,51.442307692307686,-40.900557,174.885971
1973,Romania,15,3,18,83.33333333333334,162,72,234,69.23076923076923,45.943161,24.96676
1973,Spain,5,7,12,41.66666666666667,145,121,266,54.51127819548872,40.463667,-3.74922
1973,United Kingdom,5,5,10,50,218,225,443,49.20993227990971,55.378051,-3.435973
1973,United States,36,31,67,53.73134328358209,1085,958,2043,53.108174253548704,37.09024,-95.712891
1974,Argentina,7,1,8,87.5,120,58,178,67.41573033707866,-38.416097,-63.616672
1974,Australia,20,16,36,55.55555555555556,774,675,1449,53.41614906832298,-25.274398,133.775136
1974,Germany,3,8,11,27.27272727272727,159,168,327,48.62385321100918,51.165691,10.451526
1974,India,1,1,2,50,70,97,167,41.91616766467065,20.593684,78.96288
1974,Italy,1,3,4,25,83,75,158,52.53164556962025,41.87194,12.56738
1974,Mexico,2,1,3,66.66666666666666,95,74,169,56.213017751479285,23.634501,-102.552784
1974,Netherlands,3,3,6,50,77,39,116,66.37931034482759,52.132633,5.291266
1974,New Zealand,2,4,6,33.33333333333333,126,117,243,51.85185185185185,-40.900557,174.885971
1974,Romania,6,5,11,54.54545454545454,103,64,167,61.67664670658682,45.943161,24.96676
1974,Russia,1,3,4,25,60,24,84,71.42857142857143,61.52401,105.318756
1974,South Africa,2,2,4,50,190,157,347,54.7550432276657,-30.559482,22.937506
1974,Sweden,9,5,14,64.28571428571429,143,120,263,54.372623574144484,60.128161,18.643501
1974,United Kingdom,1,4,5,20,323,195,518,62.35521235521235,55.378051,-3.435973
1974,United States,41,31,72,56.94444444444444,1213,1099,2312,52.465397923875436,37.09024,-95.712891
1975,Argentina,5,3,8,62.5,135,81,216,62.5,-38.416097,-63.616672
1975,Australia,14,9,23,60.86956521739131,586,558,1144,51.22377622377622,-25.274398,133.775136
1975,Croatia,1,1,2,50,46,49,95,48.421052631578945,45.1,15.2
1975,Czech Republic,2,5,7,28.57142857142857,130,119,249,52.208835341365464,49.817492,15.472962
1975,Germany,1,4,5,20,175,182,357,49.01960784313725,51.165691,10.451526
1975,Italy,3,4,7,42.857142857142854,106,102,208,50.96153846153846,41.87194,12.56738
1975,Mexico,4,1,5,80,96,78,174,55.172413793103445,23.634501,-102.552784
1975,Netherlands,2,3,5,40,51,51,102,50,52.132633,5.291266
1975,New Zealand,1,3,4,25,101,80,181,55.80110497237569,-40.900557,174.885971
1975,Romania,5,4,9,55.55555555555556,106,50,156,67.94871794871796,45.943161,24.96676
1975,Spain,9,8,17,52.94117647058824,224,168,392,57.14285714285714,40.463667,-3.74922
1975,Sweden,6,4,10,60,132,114,246,53.65853658536586,60.128161,18.643501
1975,United States,37,41,78,47.43589743589743,1170,1083,2253,51.93075898801598,37.09024,-95.712891
1976,Argentina,6,4,10,60,158,103,261,60.53639846743295,-38.416097,-63.616672
1976,Australia,9,10,19,47.368421052631575,489,588,1077,45.40389972144847,-25.274398,133.775136
1976,Chile,1,2,3,33.33333333333333,95,86,181,52.48618784530387,-35.675147,-71.542969
1976,Czech Republic,1,4,5,20,109,105,214,50.93457943925234,49.817492,15.472962
1976,India,2,2,4,50,61,91,152,40.131578947368425,20.593684,78.96288
1976,Italy,6,3,9,66.66666666666666,147,82,229,64.19213973799127,41.87194,12.56738
1976,Mexico,4,5,9,44.44444444444444,106,59,165,64.24242424242425,23.634501,-102.552784
1976,New Zealand,3,2,5,60,102,97,199,51.256281407035175,-40.900557,174.885971
1976,Poland,3,5,8,37.5,81,38,119,68.0672268907563,51.919438,19.145136
1976,Romania,6,6,12,50,84,34,118,71.1864406779661,45.943161,24.96676
1976,South Africa,1,3,4,25,146,186,332,43.97590361445783,-30.559482,22.937506
1976,Spain,8,7,15,53.333333333333336,202,172,374,54.01069518716578,40.463667,-3.74922
1976,Sweden,6,3,9,66.66666666666666,112,116,228,49.122807017543856,60.128161,18.643501
1976,United States,37,35,72,51.388888888888886,1219,1151,2370,51.434599156118146,37.09024,-95.712891
1977,Argentina,16,6,22,72.72727272727273,167,93,260,64.23076923076924,-38.416097,-63.616672
1977,Australia,2,7,9,22.22222222222222,532,609,1141,46.62576687116564,-25.274398,133.775136
1977,Czech Republic,1,2,3,33.33333333333333,106,124,230,46.08695652173913,49.817492,15.472962
1977,France,2,2,4,50,136,166,302,45.033112582781456,46.227638,2.213749
1977,Germany,1,2,3,33.33333333333333,114,138,252,45.23809523809524,51.165691,10.451526
1977,Italy,7,2,9,77.77777777777779,116,79,195,59.48717948717949,41.87194,12.56738
1977,Mexico,2,3,5,40,72,50,122,59.01639344262295,23.634501,-102.552784
1977,Poland,2,5,7,28.57142857142857,72,39,111,64.86486486486487,51.919438,19.145136
1977,Romania,3,2,5,60,69,44,113,61.06194690265486,45.943161,24.96676
1977,Spain,4,5,9,44.44444444444444,149,128,277,53.79061371841155,40.463667,-3.74922
1977,Sweden,12,2,14,85.71428571428571,143,114,257,55.6420233463035,60.128161,18.643501
1977,United Kingdom,1,9,10,10,196,197,393,49.87277353689568,55.378051,-3.435973
1977,United States,43,42,85,50.588235294117645,1462,1341,2803,52.15840171245094,37.09024,-95.712891
1978,Argentina,10,6,16,62.5,136,61,197,69.03553299492386,-38.416097,-63.616672
1978,Australia,2,12,14,14.285714285714285,451,578,1029,43.82896015549077,-25.274398,133.775136
1978,Austria,1,1,2,50,31,43,74,41.891891891891895,47.516231,14.550072
1978,Czech Republic,2,3,5,40,122,144,266,45.86466165413533,49.817492,15.472962
1978,France,2,3,5,40,123,191,314,39.171974522293,46.227638,2.213749
1978,Germany,2,2,4,50,101,109,210,48.095238095238095,51.165691,10.451526
1978,Hungary,2,1,3,66.66666666666666,56,30,86,65.11627906976744,47.162494,19.503304
1978,India,1,1,2,50,51,69,120,42.5,20.593684,78.96288
1978,Italy,2,5,7,28.57142857142857,151,127,278,54.31654676258992,41.87194,12.56738
1978,Mexico,2,6,8,25,82,67,149,55.033557046979865,23.634501,-102.552784
1978,Paraguay,1,2,3,33.33333333333333,38,34,72,52.77777777777778,-23.442503,-58.443832
1978,Poland,1,1,2,50,65,38,103,63.10679611650486,51.919438,19.145136
1978,Romania,2,3,5,40,47,35,82,57.3170731707317,45.943161,24.96676
1978,South Africa,2,1,3,66.66666666666666,110,165,275,40,-30.559482,22.937506
1978,Spain,7,1,8,87.5,152,100,252,60.317460317460316,40.463667,-3.74922
1978,Sweden,10,2,12,83.33333333333334,134,85,219,61.18721461187214,60.128161,18.643501
1978,United States,45,42,87,51.724137931034484,1481,1224,2705,54.750462107208875,37.09024,-95.712891
1979,Argentina,5,6,11,45.45454545454545,135,88,223,60.53811659192825,-38.416097,-63.616672
1979,Australia,6,8,14,42.857142857142854,427,554,981,43.52701325178389,-25.274398,133.775136
1979,Austria,2,2,4,50,41,47,88,46.590909090909086,47.516231,14.550072
1979,Chile,2,1,3,66.66666666666666,77,78,155,49.67741935483871,-35.675147,-71.542969
1979,Czech Republic,1,2,3,33.33333333333333,112,109,221,50.678733031674206,49.817492,15.472962
1979,France,3,2,5,60,175,188,363,48.209366391184574,46.227638,2.213749
1979,Germany,1,3,4,25,113,121,234,48.29059829059829,51.165691,10.451526
1979,Hungary,2,1,3,66.66666666666666,42,25,67,62.68656716417911,47.162494,19.503304
1979,Italy,1,4,5,20,113,109,222,50.9009009009009,41.87194,12.56738
1979,Paraguay,3,4,7,42.857142857142854,77,46,123,62.601626016260155,-23.442503,-58.443832
1979,Poland,2,3,5,40,63,26,89,70.78651685393258,51.919438,19.145136
1979,South Africa,1,2,3,33.33333333333333,87,138,225,38.666666666666664,-30.559482,22.937506
1979,Spain,4,5,9,44.44444444444444,141,138,279,50.53763440860215,40.463667,-3.74922
1979,Sweden,13,2,15,86.66666666666667,125,97,222,56.30630630630631,60.128161,18.643501
1979,United States,47,48,95,49.473684210526315,1654,1358,3012,54.9136786188579,37.09024,-95.712891
1980,Argentina,11,5,16,68.75,155,95,250,62,-38.416097,-63.616672
1980,Australia,4,8,12,33.33333333333333,425,537,962,44.17879417879418,-25.274398,133.775136
1980,Czech Republic,2,1,3,66.66666666666666,92,97,189,48.67724867724868,49.817492,15.472962
1980,France,1,3,4,25,182,245,427,42.62295081967213,46.227638,2.213749
1980,Germany,1,1,2,50,92,133,225,40.88888888888889,51.165691,10.451526
1980,Hungary,3,1,4,75,51,21,72,70.83333333333334,47.162494,19.503304
1980,India,2,3,5,40,87,68,155,56.12903225806451,20.593684,78.96288
1980,Israel,1,2,3,33.33333333333333,39,36,75,52,31.046051,34.851612
1980,Italy,2,8,10,20,121,99,220,55.00000000000001,41.87194,12.56738
1980,Mexico,1,1,2,50,32,31,63,50.79365079365079,23.634501,-102.552784
1980,Paraguay,1,2,3,33.33333333333333,49,40,89,55.0561797752809,-23.442503,-58.443832
1980,Poland,3,1,4,75,59,29,88,67.04545454545455,51.919438,19.145136
1980,Spain,2,1,3,66.66666666666666,110,110,220,50,40.463667,-3.74922
1980,Sweden,10,3,13,76.92307692307693,143,101,244,58.606557377049185,60.128161,18.643501
1980,United States,52,55,107,48.598130841121495,1757,1445,3202,54.871955028107436,37.09024,-95.712891
1981,Argentina,9,8,17,52.94117647058824,195,138,333,58.55855855855856,-38.416097,-63.616672
1981,Australia,7,7,14,50,343,378,721,47.57281553398058,-25.274398,133.775136
1981,Bolivia,1,1,2,50,31,27,58,53.44827586206896,-16.290154,-63.588653
1981,Brazil,1,1,2,50,44,56,100,44,-14.235004,-51.92528
1981,Chile,2,2,4,50,89,98,187,47.593582887700535,-35.675147,-71.542969
1981,Czech Republic,2,2,4,50,102,93,195,52.307692307692314,49.817492,15.472962
1981,Ecuador,1,2,3,33.33333333333333,56,42,98,57.14285714285714,-1.831239,-78.183406
1981,France,3,5,8,37.5,195,232,427,45.66744730679157,46.227638,2.213749
1981,Hungary,2,1,3,66.66666666666666,53,24,77,68.83116883116884,47.162494,19.503304
1981,Italy,1,1,2,50,73,87,160,45.625,41.87194,12.56738
1981,New Zealand,1,4,5,20,66,67,133,49.62406015037594,-40.900557,174.885971
1981,Paraguay,2,2,4,50,60,35,95,63.1578947368421,-23.442503,-58.443832
1981,Poland,1,1,2,50,43,23,66,65.15151515151516,51.919438,19.145136
1981,Spain,1,1,2,50,158,151,309,51.1326860841424,40.463667,-3.74922
1981,Sweden,3,6,9,33.33333333333333,126,140,266,47.368421052631575,60.128161,18.643501
1981,United States,54,41,95,56.84210526315789,1631,1411,3042,53.61604207758054,37.09024,-95.712891
1982,Argentina,12,7,19,63.1578947368421,184,114,298,61.74496644295302,-38.416097,-63.616672
1982,Australia,7,11,18,38.88888888888889,338,371,709,47.672778561354015,-25.274398,133.775136
1982,Chile,3,1,4,75,63,62,125,50.4,-35.675147,-71.542969
1982,Czech Republic,2,3,5,40,100,93,193,51.813471502590666,49.817492,15.472962
1982,Ecuador,2,1,3,66.66666666666666,63,45,108,58.333333333333336,-1.831239,-78.183406
1982,France,5,3,8,62.5,220,231,451,48.78048780487805,46.227638,2.213749
1982,Hungary,2,1,3,66.66666666666666,67,51,118,56.779661016949156,47.162494,19.503304
1982,Mexico,1,2,3,33.33333333333333,32,21,53,60.37735849056604,23.634501,-102.552784
1982,Poland,3,2,5,60,54,28,82,65.85365853658537,51.919438,19.145136
1982,Spain,3,3,6,50,168,183,351,47.863247863247864,40.463667,-3.74922
1982,Sweden,6,5,11,54.54545454545454,178,144,322,55.27950310559007,60.128161,18.643501
1982,United States,56,54,110,50.90909090909091,1710,1496,3206,53.33749220212103,37.09024,-95.712891
1983,Argentina,8,5,13,61.53846153846154,125,86,211,59.241706161137444,-38.416097,-63.616672
1983,Australia,7,6,13,53.84615384615385,259,287,546,47.43589743589743,-25.274398,133.775136
1983,Chile,1,1,2,50,53,69,122,43.44262295081967,-35.675147,-71.542969
