year,surface,n
1968,Grass,2
1969,Carpet,6
1969,Clay,16
1969,Grass,10
1969,Hard,6
1970,Carpet,12
1970,Clay,20
1970,Grass,14
1970,Hard,19
1971,Carpet,10
1971,Clay,30
1971,Grass,8
1971,Hard,29
1972,Carpet,20
1972,Clay,22
1972,Grass,11
1972,Hard,28
1973,Carpet,21
1973,Clay,34
1973,Grass,12
1973,Hard,31
1974,Carpet,22
1974,Clay,29
1974,Grass,13
1974,Hard,24
1975,Carpet,29
1975,Clay,39
1975,Grass,6
1975,Hard,22
1976,Carpet,35
1976,Clay,42
1976,Grass,4
1976,Hard,19
1977,Carpet,25
1977,Clay,40
1977,Grass,10
1977,Hard,23
1978,Carpet,27
1978,Clay,43
1978,Grass,7
1978,Hard,19
1979,Carpet,23
1979,Clay,36
1979,Grass,9
1979,Hard,29
1980,Carpet,29
1980,Clay,38
1980,Grass,9
1980,Hard,24
1981,Carpet,18
1981,Clay,38
1981,Grass,8
1981,Hard,30
1982,Carpet,30
1982,Clay,40
1982,Grass,9
1982,Hard,25
1983,Carpet,18
1983,Clay,33
1983,Grass,7
1983,Hard,25
1984,Carpet,15
1984,Clay,27
1984,Grass,8
1984,Hard,23
1985,Carpet,16
1985,Clay,27
1985,Grass,8
1985,Hard,23
1986,Carpet,17
1986,Clay,28
1986,Grass,5
1986,Hard,22
1987,Carpet,14
1987,Clay,28
1987,Grass,6
1987,Hard,30
1988,Carpet,15
1988,Clay,28
1988,Grass,5
1988,Hard,30
1989,Carpet,15
1989,Clay,28
1989,Grass,4
1989,Hard,31
1990,Carpet,19
1990,Clay,29
1990,Grass,5
1990,Hard,31
1991,Carpet,19
1991,Clay,27
1991,Grass,5
1991,Hard,32
1992,Carpet,17
1992,Clay,32
1992,Grass,5
1992,Hard,30
1993,Carpet,18
1993,Clay,34
1993,Grass,6
1993,Hard,33
1994,Carpet,19
1994,Clay,35
1994,Grass,6
1994,Hard,32
1995,Carpet,18
1995,Clay,34
1995,Grass,6
1995,Hard,29
1996,Carpet,18
1996,Clay,32
1996,Grass,6
1996,Hard,32
1997,Carpet,15
1997,Clay,30
1997,Grass,6
1997,Hard,29
1998,Carpet,12
1998,Clay,30
1998,Grass,6
1998,Hard,33
1999,Carpet,8
1999,Clay,27
1999,Grass,6
1999,Hard,32
2000,Carpet,4
2000,Clay,26
2000,Grass,6
2000,Hard,36
2001,Carpet,5
2001,Clay,27
2001,Grass,6
2001,Hard,36
2002,Carpet,5
2002,Clay,25
2002,Grass,6
2002,Hard,32
2003,Carpet,5
2003,Clay,25
2003,Grass,6
2003,Hard,30
2004,Carpet,6
2004,Clay,26
2004,Grass,6
2004,Hard,32
2005,Carpet,8
2005,Clay,26
2005,Grass,6
2005,Hard,29
2006,Carpet,6
2006,Clay,26
2006,Grass,6
2006,Hard,31
2007,Carpet,3
2007,Clay,25
2007,Grass,6
2007,Hard,37
2008,Carpet,1
2008,Clay,25
2008,Grass,6
2008,Hard,33
2009,Clay,23
2009,Grass,6
2009,Hard,38
2010,Clay,23
2010,Grass,6
2010,Hard,38
2011,Clay,24
2011,Grass,6
2011,Hard,37
2012,Clay,24
2012,Grass,7
2012,Hard,40
2013,Clay,22
2013,Grass,6
2013,Hard,37
2014,Clay,22
2014,Grass,6
2014,Hard,33
2015,Clay,22
2015,Grass,7
2015,Hard,37
2016,Clay,22
2016,Grass,7
2016,Hard,38
2017,Clay,22
2017,Grass,8
2017,Hard,38
2018,Clay,22
2018,Grass,8
2018,Hard,41
2019,Clay,21
2019,Grass,8
2019,Hard,34
2020,Clay,9
2020,Hard,25
2021,Clay,8
2021,Hard,15
