tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2000-717,Orlando,Clay,32,A,1/5/2000,31,103602,NA,Q,Fernando Gonzalez,R,183,CHI,19.75633128,103454,6,NA,Nicolas Massu,R,183,CHI,20.55852156,6-2 6-3,3,FALSE,78,7,8,56,29,25,12,8,0,0,5,3,57,36,21,8,9,6,10,352,76,89,464,2000,Chile,Chile,-35.675147,-71.542969,-35.675147,-71.542969
2000-409,Atlanta,Clay,32,A,10/4/2000,31,102776,8,NA,Andrew Ilie,R,180,AUS,23.97809719,101727,NA,NA,Jason Stoltenberg,R,185,AUS,30.01779603,6-3 7-5,3,FALSE,92,2,2,78,39,28,20,11,5,7,4,2,71,36,19,18,10,7,11,79,535,92,437,2000,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
2000-408,London,Hard,32,A,21/2/2000,31,101820,NA,NA,Marc Rosset,R,201,SUI,29.28952772,102338,1,NA,Yevgeny Kafelnikov,R,190,RUS,26.00684463,6-4 6-4,3,FALSE,80,9,4,66,38,31,14,10,4,5,6,6,68,36,26,13,10,5,8,72,555,3,2670,2000,Switzerland,Russia,46.818188,8.227512,61.52401,105.318756
2000-560,US Open,Hard,128,G,28/8/2000,127,103498,6,NA,Marat Safin,R,193,RUS,20.58590007,101948,4,NA,Pete Sampras,R,185,USA,29.045859,6-4 6-3 6-3,5,FALSE,98,12,2,82,40,34,26,14,2,2,8,4,79,50,38,12,14,5,9,7,2442,4,3039,2000,Russia,United States,61.52401,105.318756,37.09024,-95.712891
2000-568,St. Petersburg,Hard,32,A,6/11/2000,31,103498,1,NA,Marat Safin,R,193,RUS,20.77754962,103103,3,NA,Dominik Hrbaty,R,183,SVK,22.83915127,2-6 6-4 6-4,3,FALSE,112,14,1,90,46,29,27,14,3,6,5,4,94,63,47,11,14,12,15,3,3380,22,1150,2000,Russia,Slovakia,61.52401,105.318756,48.669026,19.699024
2000-402,Memphis,Hard,48,A,14/2/2000,47,101723,16,NA,Magnus Larsson,R,193,SWE,29.89185489,101647,13,NA,Byron Black,R,175,ZIM,30.35728953,6-2 1-6 6-3,3,FALSE,92,16,3,80,56,37,10,12,6,9,2,2,70,46,27,15,12,2,6,78,519,76,530,2000,Sweden,Zimbabwe,60.128161,18.643501,-19.015438,29.154857
2000-404,Indian Wells Masters,Hard,64,M,13/3/2000,63,102374,NA,NA,Alex Corretja,R,180,ESP,25.92197125,102358,10,NA,Thomas Enqvist,R,190,SWE,26.00136893,6-4 6-4 6-3,5,FALSE,120,10,1,77,38,30,28,14,6,7,8,7,100,54,34,25,15,8,13,26,1041,10,1551,2000,Spain,Sweden,40.463667,-3.74922,60.128161,18.643501
2000-407,Rotterdam,Hard,32,A,14/2/2000,31,101611,8,NA,Cedric Pioline,R,188,FRA,30.66666667,102450,5,NA,Tim Henman,R,185,GBR,25.44010951,6-7(3) 6-4 7-6(4),3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1375,11,1558,2000,France,United Kingdom,46.227638,2.213749,55.378051,-3.435973
2000-336,Hong Kong,Hard,32,A,2/10/2000,31,103017,3,NA,Nicolas Kiefer,R,183,GER,23.24435318,102882,4,NA,Mark Philippoussis,R,196,AUS,23.90143737,7-6(4) 2-6 6-2,3,FALSE,131,12,6,102,61,44,23,14,8,10,17,5,79,49,42,14,14,1,3,13,1580,15,1470,2000,Germany,Australia,51.165691,10.451526,-25.274398,133.775136
2000-360,Casablanca,Clay,32,A,10/4/2000,31,102950,6,NA,Fernando Vicente,R,180,ESP,23.09103354,103206,4,NA,Sebastien Grosjean,R,175,FRA,21.86721424,6-4 4-6 7-6(3),3,FALSE,148,0,1,95,61,38,21,16,3,8,0,1,122,94,56,12,16,7,12,45,794,29,971,2000,Spain,France,40.463667,-3.74922,46.227638,2.213749
