tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2004-403,Miami Masters,Hard,96,M,20040322,65,104745,32,NA,Rafael Nadal,L,185,ESP,17.8015058179,103819,1,NA,Roger Federer,R,185,SUI,22.6201232033,6-3 6-3,3,R32,70,1,2,48,39,31,5,9,0,0,8,2,56,34,21,13,9,4,7,34,973,1,5635,2004,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2005-403,Miami Masters,Hard,96,M,20050321,95,103819,1,NA,Roger Federer,R,185,SUI,23.6167008898,104745,29,NA,Rafael Nadal,L,185,ESP,18.7980835044,2-6 6-7(4) 7-6(5) 6-3 6-1,5,F,223,9,9,151,90,67,30,24,4,9,4,4,156,100,64,32,24,6,13,1,6050,31,1065,2005,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2005-520,Roland Garros,Clay,128,G,20050523,125,104745,4,NA,Rafael Nadal,L,185,ESP,18.970568104,103819,1,NA,Roger Federer,R,185,SUI,23.7891854894,6-3 4-6 6-4 6-3,5,SF,167,2,4,120,88,54,16,19,6,12,3,5,119,74,47,17,19,4,13,5,2600,1,6605,2005,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-410,Monte Carlo Masters,Clay,64,M,20060417,1,103819,1,NA,Roger Federer,R,185,SUI,24.6899383984,104925,NA,Q,Novak Djokovic,R,188,SRB,18.9048596851,6-3 2-6 6-3,3,R64,109,1,0,73,39,28,21,13,0,2,1,4,94,61,36,19,13,8,11,1,6810,67,606,2006,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2006-410,Monte Carlo Masters,Clay,64,M,20060417,63,104745,2,NA,Rafael Nadal,L,185,ESP,19.871321013,103819,1,NA,Roger Federer,R,185,SUI,24.6899383984,6-2 6-7(2) 6-3 7-6(5),5,F,230,1,4,152,106,70,24,21,14,18,3,3,143,86,54,28,20,7,14,2,4135,1,6810,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-416,Rome Masters,Clay,64,M,20060508,63,104745,2,NA,Rafael Nadal,L,185,ESP,19.9288158795,103819,1,NA,Roger Federer,R,185,SUI,24.7474332649,6-7(0) 7-6(5) 6-4 2-6 7-6(5),5,F,305,4,1,173,147,101,14,27,6,10,10,0,180,112,86,35,27,6,9,2,4135,1,7160,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-495,Dubai,Hard,32,A,20060227,31,104745,2,NA,Rafael Nadal,L,185,ESP,19.7371663244,103819,1,NA,Roger Federer,R,185,SUI,24.5557837098,2-6 6-4 6-4,3,F,113,1,1,80,56,38,13,14,0,3,9,0,69,41,33,16,14,2,5,2,4455,1,6725,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-520,Roland Garros,Clay,128,G,20060529,124,104745,2,NA,Rafael Nadal,L,185,ESP,19.9863107461,104925,NA,NA,Novak Djokovic,R,188,SRB,19.0198494182,6-4 6-4 RET,5,QF,114,3,0,59,47,30,7,10,3,6,2,3,67,49,27,4,10,2,7,2,4545,63,627,2006,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2006-520,Roland Garros,Clay,128,G,20060529,127,104745,2,NA,Rafael Nadal,L,185,ESP,19.9863107461,103819,1,NA,Roger Federer,R,185,SUI,24.8049281314,1-6 6-1 6-4 7-6(4),5,F,182,3,0,111,85,59,17,18,7,10,8,1,119,72,49,25,18,8,12,2,4545,1,7010,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-540,Wimbledon,Grass,128,G,20060626,127,103819,1,NA,Roger Federer,R,185,SUI,24.8815879535,104745,2,NA,Rafael Nadal,L,185,ESP,20.0629705681,6-0 7-6(5) 6-7(2) 6-3,5,F,178,13,1,119,83,64,20,20,1,3,9,3,127,94,64,14,19,4,10,1,7260,2,4545,2006,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2006-605,Masters Cup,Hard,8,F,20061113,4,103819,NA,NA,Roger Federer,R,185,SUI,25.2648870637,104745,NA,NA,Rafael Nadal,L,185,ESP,20.4462696783,6-4 7-5,3,SF,113,7,4,60,37,32,10,11,1,2,0,2,80,55,33,14,11,8,11,1,7620,2,4270,2006,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2006-D023,Davis Cup WG PO: SUI vs SCG,Hard,4,D,20060922,4,103819,NA,NA,Roger Federer,R,185,SUI,25.1115674196,104925,NA,NA,Novak Djokovic,R,188,SRB,19.3264887064,6-3 6-2 6-3,5,RR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7295,21,1183,2006,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2007-403,Miami Masters,Hard,96,M,20070319,92,104925,10,NA,Novak Djokovic,R,188,SRB,19.8247775496,104745,2,NA,Rafael Nadal,L,185,ESP,20.7912388775,6-3 6-4,3,QF,97,7,0,65,45,29,15,10,4,5,1,1,54,40,28,5,9,4,7,10,2060,2,4755,2007,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2007-404,Indian Wells Masters,Hard,96,M,20070305,95,104745,2,NA,Rafael Nadal,L,185,ESP,20.7529089665,104925,12,NA,Novak Djokovic,R,188,SRB,19.7864476386,6-2 7-5,3,F,94,2,1,65,44,32,14,10,3,3,3,2,51,26,20,11,10,1,4,2,4480,13,1715,2007,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
