tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2005-403,Miami Masters,Hard,96,M,2005-03-21,95,103819,1,NA,Roger Federer,R,185,SUI,23.6167008898,104745,29,NA,Rafael Nadal,L,185,ESP,18.7980835044,2-6 6-7(4) 7-6(5) 6-3 6-1,5,FALSE,223,9,9,151,90,67,30,24,4,9,4,4,156,100,64,32,24,6,13,1,6050,31,1065,2005,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2006-410,Monte Carlo Masters,Clay,64,M,2006-04-17,63,104745,2,NA,Rafael Nadal,L,185,ESP,19.871321013,103819,1,NA,Roger Federer,R,185,SUI,24.6899383984,6-2 6-7(2) 6-3 7-6(5),5,FALSE,230,1,4,152,106,70,24,21,14,18,3,3,143,86,54,28,20,7,14,2,4135,1,6810,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-416,Rome Masters,Clay,64,M,2006-05-08,63,104745,2,NA,Rafael Nadal,L,185,ESP,19.9288158795,103819,1,NA,Roger Federer,R,185,SUI,24.7474332649,6-7(0) 7-6(5) 6-4 2-6 7-6(5),5,FALSE,305,4,1,173,147,101,14,27,6,10,10,0,180,112,86,35,27,6,9,2,4135,1,7160,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-495,Dubai,Hard,32,A,2006-02-27,31,104745,2,NA,Rafael Nadal,L,185,ESP,19.7371663244,103819,1,NA,Roger Federer,R,185,SUI,24.5557837098,2-6 6-4 6-4,3,FALSE,113,1,1,80,56,38,13,14,0,3,9,0,69,41,33,16,14,2,5,2,4455,1,6725,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-520,Roland Garros,Clay,128,G,2006-05-29,127,104745,2,NA,Rafael Nadal,L,185,ESP,19.9863107461,103819,1,NA,Roger Federer,R,185,SUI,24.8049281314,1-6 6-1 6-4 7-6(4),5,FALSE,182,3,0,111,85,59,17,18,7,10,8,1,119,72,49,25,18,8,12,2,4545,1,7010,2006,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2006-540,Wimbledon,Grass,128,G,2006-06-26,127,103819,1,NA,Roger Federer,R,185,SUI,24.8815879535,104745,2,NA,Rafael Nadal,L,185,ESP,20.0629705681,6-0 7-6(5) 6-7(2) 6-3,5,FALSE,178,13,1,119,83,64,20,20,1,3,9,3,127,94,64,14,19,4,10,1,7260,2,4545,2006,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2007-404,Indian Wells Masters,Hard,96,M,2007-03-05,95,104745,2,NA,Rafael Nadal,L,185,ESP,20.7529089665,104925,12,NA,Novak Djokovic,R,188,SRB,19.7864476386,6-2 7-5,3,FALSE,94,2,1,65,44,32,14,10,3,3,3,2,51,26,20,11,10,1,4,2,4480,13,1715,2007,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2007-410,Monte Carlo Masters,Clay,56,M,2007-04-15,55,104745,2,NA,Rafael Nadal,L,185,ESP,20.8678986995,103819,1,NA,Roger Federer,R,185,SUI,25.6865160849,6-4 6-4,3,FALSE,95,1,1,66,52,38,8,10,3,3,3,4,66,36,26,13,10,6,8,2,4875,1,7290,2007,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2007-414,Hamburg Masters,Clay,56,M,2007-05-14,55,103819,1,NA,Roger Federer,R,185,SUI,25.7631759069,104745,2,NA,Rafael Nadal,L,185,ESP,20.9445585216,2-6 6-2 6-0,3,FALSE,115,6,0,73,38,29,17,11,5,7,1,1,79,62,32,8,11,6,11,1,7015,2,4875,2007,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2007-421,Canada Masters,Hard,56,M,2007-08-05,55,104925,3,NA,Novak Djokovic,R,188,SRB,20.2080766598,103819,1,NA,Roger Federer,R,185,SUI,25.993155373,7-6(2) 2-6 7-6(2),3,FALSE,133,6,3,96,63,44,19,16,4,9,15,1,102,69,53,14,16,3,6,4,3200,1,7290,2007,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2007-520,Roland Garros,Clay,128,G,2007-05-28,127,104745,2,NA,Rafael Nadal,L,185,ESP,20.9828884326,103819,1,NA,Roger Federer,R,185,SUI,25.8015058179,6-3 4-6 6-3 6-4,5,FALSE,190,2,1,137,106,74,17,19,16,17,9,1,118,76,50,23,19,6,10,2,5225,1,7515,2007,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2007-540,Wimbledon,Grass,128,G,2007-06-25,127,103819,1,NA,Roger Federer,R,185,SUI,25.87816564,104745,2,NA,Rafael Nadal,L,185,ESP,21.0595482546,7-6(7) 4-6 7-6(3) 2-6 6-2,5,FALSE,225,24,3,156,111,79,28,25,7,11,1,2,167,118,81,28,25,5,8,1,7290,2,5225,2007,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2007-560,US Open,Hard,128,G,2007-08-27,127,103819,1,NA,Roger Federer,R,185,SUI,26.0506502396,104925,3,NA,Novak Djokovic,R,188,SRB,20.2655715264,7-6(4) 7-6(2) 6-4,5,FALSE,144,11,4,106,66,52,25,17,7,9,5,7,116,64,45,29,17,2,5,1,7605,3,3670,2007,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2008-311,Queen's Club,Grass,56,A,2008-06-09,55,104745,1,NA,Rafael Nadal,L,185,ESP,22.0177960301,104925,2,NA,Novak Djokovic,R,188,SRB,21.0513347023,7-6(6) 7-5,3,FALSE,136,3,0,82,50,34,16,12,5,8,4,0,90,69,42,10,12,9,13,2,5585,3,5225,2008,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2008-410,Monte Carlo Masters,Clay,56,M,2008-04-20,55,104745,2,NA,Rafael Nadal,L,185,ESP,21.8836413415,103819,1,NA,Roger Federer,R,185,SUI,26.7022587269,7-5 7-5,3,FALSE,103,1,2,63,51,32,5,12,1,5,5,0,75,47,28,8,12,1,7,2,5455,1,6425,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-414,Hamburg Masters,Clay,56,M,2008-05-11,55,104745,2,NA,Rafael Nadal,L,185,ESP,21.9411362081,103819,1,NA,Roger Federer,R,185,SUI,26.7597535934,7-5 6-7(3) 6-3,3,FALSE,172,3,3,101,77,51,8,17,3,7,7,0,118,72,48,16,16,11,17,2,5435,1,6825,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-520,Roland Garros,Clay,128,G,2008-05-25,127,104745,2,NA,Rafael Nadal,L,185,ESP,21.9794661191,103819,1,NA,Roger Federer,R,185,SUI,26.7980835044,6-1 6-3 6-0,5,FALSE,108,0,0,67,50,35,11,11,3,4,2,0,77,53,26,5,11,9,17,2,5585,1,6675,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
