tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
1969-2029,Dublin,Grass,32,A,19690707,300,100040,NA,NA,Bob Hewitt,R,190,RSA,29.4839151266,100037,NA,NA,Nikola Pilic,L,NA,CRO,29.8617385352,6-3 6-2,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,South Africa,Croatia,-30.559482,22.937506,45.1,15.2
1969-2058,New York,Carpet,32,A,19690324,300,100026,NA,NA,Andres Gimeno,R,185,ESP,31.6386036961,100074,NA,NA,Arthur Ashe,R,185,USA,25.7056810404,6-1 6-2 3-6 6-8 9-7,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Spain,United States,40.463667,-3.74922,37.09024,-95.712891
1969-243,Perth,Grass,32,A,19681230,300,100060,NA,NA,Marty Riessen,R,185,USA,27.0718685832,100016,NA,NA,Ken Rosewall,R,175,AUS,34.160164271,6-3 6-4 2-6 2-6 6-1,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,United States,Australia,37.09024,-95.712891,-25.274398,133.775136
1969-260,Durban,Hard,64,A,19690414,300,100120,NA,NA,Robert Maud,R,180,RSA,22.6721423682,109824,NA,NA,Julian Krinsky,R,NA,RSA,NA,7-6 4-6 6-1 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,South Africa,South Africa,-30.559482,22.937506,-30.559482,22.937506
1969-301,Auckland,Grass,32,A,19690129,300,100100,1,NA,Tony Roche,L,178,AUS,23.704312115,100029,2,NA,Rod Laver,L,173,AUS,30.4750171116,6-1 6-4 4-6 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-303,Buenos Aires,Clay,32,A,19691111,300,100062,NA,NA,Francois Jauffret,R,180,FRA,27.7535934292,100141,NA,NA,Zeljko Franulovic,R,NA,CRO,22.4147843943,3-6 6-2 6-4 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,France,Croatia,46.227638,2.213749,45.1,15.2
1969-311,Queen's Club,Grass,128,A,19690616,79,100030,NA,NA,Fred Stolle,R,190,AUS,30.688569473,100087,NA,NA,John Newcombe,R,183,AUS,25.0650239562,6-3 22-20,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-314,Gstaad,Clay,32,A,19690727,300,100022,NA,NA,Roy Emerson,R,183,AUS,32.7282683094,100084,NA,NA,Tom Okker,R,178,NED,25.4264202601,6-1 12-14 6-4 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Netherlands,-25.274398,133.775136,52.132633,5.291266
1969-317,Hilversum,Hard,32,A,19690803,300,100084,NA,NA,Tom Okker,R,178,NED,25.4455852156,100058,NA,NA,Roger Taylor,L,NA,GBR,27.8028747433,10-8 7-9 6-4 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Netherlands,United Kingdom,52.132633,5.291266,55.378051,-3.435973
1969-338,Sydney,Grass,32,A,19690113,300,100100,4,NA,Tony Roche,L,178,AUS,23.6605065024,100029,1,NA,Rod Laver,L,173,AUS,30.431211499,6-4 4-6 9-7 12-10,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
